Team,Iron Bank,Episode 5 Rank,Movement from Previous Episode,Episode 5 Score,Episode 4 Rank,Episode 4 Score,Episode 3 Rank,Episode 3 Score,Episode 2 Rank,Episode 2 Score,Episode 1 Rank,Episode 1 Score
Ser Hand Rale of House Bannister,Paying,2.0,1.0,51.0,3.0,39.0,5,40,6,30,8,27
Little Fingers’ Little Finger,Paying,2.0,0.0,51.0,2.0,40.0,4,41,7,29,6,29
No Ygrittes,Paying,3.0,6.0,45.0,9.0,34.0,9,35,12,25,12,25
Safari Ary,Paying,5.0,-4.0,44.0,1.0,41.0,2,42,1,36,1,36
All Bronn and no brains,Paying,5.0,3.0,44.0,8.0,35.0,4,41,2,35,2,35
"S'now way, Jose!",Paying,8.0,3.0,43.0,11.0,33.0,11,34,17,23,15,23
"Ser Dunton, Knight of the Laughing Tree",Paying,8.0,8.0,43.0,16.0,30.0,14,31,27,20,26,20
"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,8.0,-2.0,43.0,6.0,36.0,7,37,4,32,4,32
Flea Bottom Feeders,Paying,9.0,-3.0,41.0,6.0,36.0,2,42,8,28,7,28
Stop Dragon My Horse Heart Around,Paying,10.0,4.0,40.0,14.0,31.0,12,32,12,25,12,25
Xander's Dragons,Paying,15.0,9.0,39.0,24.0,28.0,28,27,17,23,26,20
Mountain Mellon Crushers,Paying,15.0,-7.0,39.0,8.0,35.0,8,36,10,26,10,26
Matton Of The Hounds,Paying,15.0,9.0,39.0,24.0,28.0,28,27,25,21,22,21
Bri-Enne Of Green Gables,Paying,15.0,-1.0,39.0,14.0,31.0,23,28,29,19,28,19
Lady Kristi of the House of Brooks,Paying,15.0,-11.0,39.0,4.0,38.0,6,39,3,34,3,34
Tormund's Member Rewards Club,Paying,17.0,7.0,38.0,24.0,28.0,19,29,19,22,17,22
Bronn: The Decision,Paying,17.0,-3.0,38.0,14.0,31.0,17,30,17,23,26,20
Lord Ben-ish,Paying,19.0,10.0,37.0,29.0,26.0,35,23,38,17,37,17
The House of Lesbian Poets,Paying,19.0,10.0,37.0,29.0,26.0,28,27,25,21,22,21
A Girl Has No Team Name,Paying,20.0,-4.0,36.0,16.0,30.0,14,31,14,24,14,24
Bronn Swanson,Paying,21.0,-1.0,35.0,20.0,29.0,23,28,25,21,22,21
A Team Has No Name,Paying,26.0,-1.0,34.0,25.0,27.0,23,28,25,21,33,18
"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,26.0,-15.0,34.0,11.0,33.0,11,34,10,26,10,26
Sand Snake Realness,Paying,26.0,10.0,34.0,36.0,23.0,19,29,38,17,43,14
Sword Swallowers through and through,Paying,26.0,-2.0,34.0,24.0,28.0,28,27,19,22,17,22
"Ygritte in the Streets, Khaleesi in the Sheets",Paying,26.0,3.0,34.0,29.0,26.0,31,25,43,14,43,14
A Wizard of Cersei,Paying,27.0,5.0,33.0,32.0,25.0,30,26,29,19,28,19
Lil' Jon Snow White,Paying,33.0,8.0,32.0,41.0,19.0,40,20,38,17,37,17
"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,33.0,7.0,32.0,40.0,20.0,39,21,43,14,43,14
House Magnus,Free,33.0,-13.0,32.0,20.0,29.0,17,30,14,24,14,24
The Ed Sheeran Fan Club,Paying,33.0,-13.0,32.0,20.0,29.0,17,30,6,30,5,30
Davis the Bastard of Voltron,Paying,33.0,-4.0,32.0,29.0,26.0,28,27,25,21,22,21
Dany Snow,Paying,33.0,-1.0,32.0,32.0,25.0,30,26,27,20,26,20
Stark Raving Mad,Paying,35.0,1.0,31.0,36.0,23.0,37,22,43,14,43,14
Sept of Baylor was an Inside job,Paying,35.0,-15.0,31.0,20.0,29.0,23,28,25,21,22,21
Aaron on the Throne,Paying,39.0,-7.0,30.0,32.0,25.0,33,24,33,18,33,18
That’s what I do: I drink and I know things.,Paying,39.0,3.0,30.0,42.0,18.0,43,17,38,17,37,17
Lady Stoneheart,Paying,39.0,-2.0,30.0,37.0,22.0,35,23,33,18,33,18
Just Here for CleganeBowl,Paying,39.0,1.0,30.0,40.0,20.0,39,21,40,15,39,15
Arya Dead Yet?,Paying,41.0,-5.0,28.0,36.0,23.0,37,22,38,17,37,17
Bri-Anne,Paying,41.0,-5.0,28.0,36.0,23.0,33,24,33,18,33,18
"Breaker of Fasts, Mother of Brunches",Paying,42.0,-4.0,26.0,38.0,21.0,42,18,39,16,38,16
Enjol-Raki ,Paying,43.0,1.0,24.0,44.0,11.0,44,10,44,3,44,3
Lady Elizabeth of House Wray,Free,44.0,-1.0,23.0,43.0,17.0,42,18,33,18,33,18
